tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime,random_seed,scenario
216.0, KB_to_MRT_002_2,130.27,-0.2,15.76,194.0,0.36, CMB_to_KBJ_002_2,2.1,0.0,0.0, tripinfo_0_91,22.0, 0_91,0,295.16,0.97,0.0,3.54, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
217.0, KBJ_to_CMB_001_3,57.78,0.45,15.68,195.0,0.01, MRT_to_KB_003_2,2.65,0.0,0.0, tripinfo_0_92,22.0, 0_92,0,233.64,1.0,0.0,5.43, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
220.0, KBJ_to_CMB_002_3,146.55,0.0,15.13,195.0,2.27, MRT_to_KB_001.37_4,2.1,0.0,0.0, tripinfo_0_89,25.0, 0_89,0,299.99,0.94,0.0,4.59, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
225.0, KBJ_to_CMB_002_1,146.55,-0.57,13.89,199.0,0.94, MRT_to_KB_001.37_2,6.35,0.0,0.0, tripinfo_0_94,26.0, 0_94,0,295.74,1.0,0.0,4.4, Goods_Vehicle, ,0,0.0,64607,dynamic_DQL_vehicle_data
226.0, KBJ_to_CMB_001_4,57.78,0.0,14.53,212.0,0.9, MRT_to_KB_001.37_4,2.65,0.0,0.0, tripinfo_0_100,14.0, 0_100,0,134.28,0.91,0.0,4.15, 3_Wheeler, ,0,0.0,64607,dynamic_DQL_vehicle_data
230.0, KBJ_to_CMB_002_2,146.55,-0.25,14.77,198.0,0.39, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_93,32.0, 0_93,0,399.35,0.94,0.0,4.46, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
234.0, KBJ_to_CMB_002_1,146.55,0.5,16.0,211.0,0.25, MRT_to_KB_001.37_2,4.3,0.0,0.0, tripinfo_0_99,23.0, 0_99,0,297.79,1.0,0.0,4.24, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
236.0, KBJ_to_CMB_002_1,146.55,-0.7,17.25,209.0,0.21, MRT_to_KB_001_2,4.3,0.0,0.0, tripinfo_0_95,27.0, 0_95,0,346.58,1.07,0.0,5.64, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
237.0, KB_to_MRT_002_1,130.27,0.0,13.37,120.0,0.0, CMB_to_KBJ_003_1,12.1,0.0,0.0, tripinfo_bus_100/101/400/412/418/428/430/433:1.1,117.0, bus_100/101/400/412/418/428/430/433:1.1,0,435.77,1.0,59.0,31.64, bus, ,0,0.0,64607,dynamic_DQL_vehicle_data
237.0, KBJ_to_CMB_002_3,146.55,-0.6,17.38,216.0,1.62, MRT_to_KB_001.37_4,4.3,0.0,0.0, tripinfo_0_101,21.0, 0_101,0,297.79,1.09,0.0,4.04, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
240.0, KBJ_to_CMB_002_2,146.55,-0.45,12.98,209.0,0.19, MRT_to_KB_001_3,4.3,0.0,0.0, tripinfo_0_96,31.0, 0_96,0,346.58,0.82,0.0,3.47, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
