tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
200.00, KBJ_to_CMB_001_3, 57.78, 0.15, 12.86, 176.00, 0.27, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_79, 24.00, 0_79, 0, 234.19, 0.82, 0.00, 3.82, Motor_Cycle, , 0, 0.00
202.00, KBJ_to_CMB_002_1, 146.55, 0.50, 17.11, 180.00, 2.75, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_80, 22.00, 0_80, 0, 297.79, 1.03, 0.00, 3.76, Car, , 0, 0.00
207.00, KBJ_to_CMB_001_3, 57.78, 0.15, 14.23, 185.00, 0.24, MRT_to_KB_003_2, 2.10, 0.00, 0.00, tripinfo_0_83, 22.00, 0_83, 0, 234.19, 0.94, 0.00, 4.66, Motor_Cycle, , 0, 0.00
212.00, KBJ_to_CMB_001_2, 57.78, 1.10, 17.12, 191.00, 0.47, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_87, 21.00, 0_87, 0, 234.19, 1.10, 0.00, 6.39, Motor_Cycle, , 0, 0.00
214.00, KBJ_to_CMB_002_2, 146.55, -0.45, 16.49, 187.00, 0.13, MRT_to_KB_001_3, 5.40, 0.00, 0.00, tripinfo_0_84, 27.00, 0_84, 0, 345.48, 0.99, 0.00, 4.51, Van, , 0, 0.00
215.00, KBJ_to_CMB_002_1, 146.55, -0.70, 13.57, 185.00, 0.50, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_82, 30.00, 0_82, 0, 346.58, 0.85, 0.00, 3.92, Car, , 0, 0.00
215.00, KBJ_to_CMB_001_3, 57.78, 0.45, 16.63, 195.00, 0.01, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_92, 20.00, 0_92, 0, 233.64, 1.01, 0.00, 4.28, 3_Wheeler, , 0, 0.00
217.00, KBJ_to_CMB_002_1, 146.55, 0.00, 15.01, 184.00, 0.48, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_81, 33.00, 0_81, 0, 398.80, 0.93, 0.00, 4.81, 3_Wheeler, , 0, 0.00
220.00, KBJ_to_CMB_002_3, 146.55, 0.00, 14.59, 195.00, 2.27, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_89, 25.00, 0_89, 0, 299.44, 0.93, 0.00, 4.12, 3_Wheeler, , 0, 0.00
220.00, KB_to_MRT_002_2, 130.27, -0.32, 13.84, 194.00, 0.36, CMB_to_KBJ_002_2, 6.35, 0.00, 0.00, tripinfo_0_91, 26.00, 0_91, 0, 290.91, 0.89, 0.00, 4.61, Goods_Vehicle, , 0, 0.00
221.00, KBJ_to_CMB_002_1, 146.55, 0.00, 16.93, 199.00, 0.94, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_94, 22.00, 0_94, 0, 299.99, 1.05, 0.00, 3.77, Motor_Cycle, , 0, 0.00
224.00, KBJ_to_CMB_001_3, 57.78, 0.00, 16.85, 212.00, 0.90, MRT_to_KB_001.37_3, 2.10, 0.00, 0.00, tripinfo_0_100, 12.00, 0_100, 0, 134.83, 1.03, 0.00, 3.51, Motor_Cycle, , 0, 0.00
229.00, KBJ_to_CMB_002_2, 146.55, -0.45, 16.23, 198.00, 0.39, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_93, 31.00, 0_93, 0, 397.15, 0.99, 0.00, 4.49, Car, , 0, 0.00
231.00, KBJ_to_CMB_002_1, 146.55, 0.50, 20.46, 211.00, 0.25, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_99, 20.00, 0_99, 0, 297.79, 1.23, 0.00, 4.95, Car, , 0, 0.00
236.00, KBJ_to_CMB_002_2, 146.55, -0.45, 17.42, 209.00, 0.19, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_96, 27.00, 0_96, 0, 346.58, 1.05, 0.00, 5.36, Car, , 0, 0.00
237.00, KB_to_MRT_002_1, 130.27, 0.00, 13.34, 120.00, 0.00, CMB_to_KBJ_003_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:1.1, 117.00, bus_100/101/400/412/418/428/430/433:1.1, 0, 435.77, 1.00, 60.00, 30.72, bus, , 0, 0.00
237.00, KBJ_to_CMB_002_3, 146.55, -0.60, 18.44, 215.00, 0.62, MRT_to_KB_001.37_4, 5.40, 0.00, 0.00, tripinfo_0_101, 22.00, 0_101, 0, 296.69, 1.12, 0.00, 5.21, Van, , 0, 0.00
238.00, KBJ_to_CMB_002_2, 146.55, -0.45, 19.72, 218.00, 0.17, MRT_to_KB_001.37_3, 4.30, 0.00, 0.00, tripinfo_0_103, 20.00, 0_103, 0, 297.79, 1.19, 0.00, 4.36, Car, , 0, 0.00
239.00, 30093400_1, 127.33, -0.55, 6.64, 193.00, 0.01, CMB_to_KBJ_003_2, 4.30, 0.00, 0.00, tripinfo_0_90, 46.00, 0_90, 0, 435.79, 0.87, 0.00, 5.96, Car, , 0, 0.00
239.00, KBJ_to_CMB_002_1, 146.55, -0.57, 13.78, 209.00, 0.21, MRT_to_KB_001_2, 6.35, 0.00, 0.00, tripinfo_0_95, 30.00, 0_95, 0, 344.53, 1.02, 0.00, 4.54, Goods_Vehicle, , 0, 0.00
244.00, KBJ_to_CMB_001_3, 57.78, -0.45, 15.64, 231.00, 0.00, MRT_to_KB_001.37_3, 5.40, 0.00, 0.00, tripinfo_0_107, 13.00, 0_107, 0, 131.53, 0.95, 0.00, 3.93, Van, , 0, 0.00
